pt	en	es	ar	ko	ja	zh	hi	id	ru
A mescla combina esta camada com as camadas abaixo. Branco em Clarear cobre a imagem; em Escurecer deixa a imagem aparecer. Ajuste também a opacidade para reduzir a intensidade.	Blending combines this layer with the layers below. White in Lighten covers the image; in Darken it lets the image show through. Also adjust the opacity to reduce the intensity.	La fusión combina esta capa con las capas de abajo. El blanco en Aclarar cubre la imagen; en Oscurecer deja ver la imagen. Ajusta también la opacidad para reducir la intensidad.	يدمج المزج هذه الطبقة مع الطبقات أسفلها. الأبيض في «تفتيح» يغطي الصورة؛ وفي «تغميق» يترك الصورة تظهر. اضبط العتامة أيضًا لتقليل الشدة.	혼합은 이 레이어를 아래 레이어들과 합성합니다. 밝게 하기에서 흰색은 이미지를 덮고, 어둡게 하기에서는 이미지가 보이게 합니다. 강도를 줄이려면 불투명도도 조절하세요.	ブレンドはこのレイヤーを下のレイヤーと合成します。「比較（明）」では白が画像を覆い、「比較（暗）」では画像が透けて見えます。強さを抑えるには不透明度も調整してください。	混合会将此图层与下方图层合成。变亮模式下白色会覆盖图像；变暗模式下则让图像显现。也可调整不透明度来降低强度。	ब्लेंडिंग इस लेयर को नीचे की लेयर के साथ मिलाती है। हल्का करें में सफ़ेद छवि को ढक देता है; गहरा करें में छवि दिखने देता है। तीव्रता कम करने के लिए अपारदर्शिता भी समायोजित करें।	Pencampuran menggabungkan lapisan ini dengan lapisan di bawahnya. Putih pada Terangkan menutupi gambar; pada Gelapkan membiarkan gambar terlihat. Atur juga opasitas untuk mengurangi intensitasnya.	Наложение объединяет этот слой со слоями ниже. Белый в режиме «Замена светлым» закрывает изображение; в «Затемнении» пропускает его. Чтобы снизить интенсивность, уменьшите и непрозрачность.
A palavra dita entra nesta cor; as vizinhas ficam na cor do contexto.	The spoken word appears in this color; the neighboring words stay in the context color.	La palabra dicha entra en este color; las vecinas quedan en el color del contexto.	تظهر الكلمة المنطوقة بهذا اللون؛ وتبقى الكلمات المجاورة بلون السياق.	말한 단어는 이 색상으로 표시되고, 주변 단어는 문맥 색상을 유지합니다.	話された単語はこの色で表示され、周囲の単語はコンテキストの色のままになります。	正在说出的词使用此颜色；相邻的词保持上下文颜色。	बोला गया शब्द इस रंग में आता है; आस-पास के शब्द संदर्भ के रंग में रहते हैं।	Kata yang diucapkan tampil dalam warna ini; kata di sekitarnya tetap memakai warna konteks.	Произносимое слово выделяется этим цветом; соседние остаются в цвете контекста.
A primeira corta o alfa da camada; as seguintes operam sobre as de cima.	The first one cuts the layer's alpha; the following ones operate on the ones above.	La primera recorta el alfa de la capa; las siguientes operan sobre las de arriba.	الأولى تقصّ ألفا الطبقة؛ والتالية تعمل على التي فوقها.	첫 번째는 레이어의 알파를 잘라내고, 이후의 것들은 위의 것들에 적용됩니다.	最初のものはレイヤーのアルファを切り抜き、続くものはその上のものに作用します。	第一个会裁切图层的 Alpha；后面的作用于上方的那些。	पहला लेयर के अल्फ़ा को काटता है; बाद वाले ऊपर वालों पर काम करते हैं।	Yang pertama memotong alfa lapisan; yang berikutnya bekerja pada yang di atasnya.	Первая вырезает альфу слоя; следующие действуют на те, что выше.
A trilha desce quando a voz entra e volta quando ela para — sem desenhar envelope na mao.	The track dips when the voice comes in and comes back when it stops — no drawing the envelope by hand.	La pista baja cuando entra la voz y vuelve cuando se detiene — sin dibujar la envolvente a mano.	ينخفض المسار عندما يدخل الصوت ويعود عندما يتوقف — من دون رسم المغلّف يدويًا.	음성이 들어오면 트랙이 내려가고 멈추면 다시 올라옵니다 — 엔벨로프를 손으로 그릴 필요가 없습니다.	声が入るとトラックが下がり、止まると戻ります — エンベロープを手で描く必要はありません。	人声进入时音轨降低，人声停止时恢复 — 无需手动绘制包络。	आवाज़ आने पर ट्रैक नीचे जाता है और रुकने पर वापस आता है — हाथ से एनवलप बनाने की ज़रूरत नहीं।	Trek turun saat suara masuk dan kembali saat suara berhenti — tanpa menggambar envelope secara manual.	Дорожка приглушается, когда вступает голос, и возвращается, когда он замолкает — без ручной отрисовки огибающей.
Abaixar pela voz	Duck under voice	Bajar con la voz	خفض مع الصوت	음성에 맞춰 낮추기	声で下げる	随人声降低	आवाज़ पर कम करें	Turunkan saat ada suara	Приглушать под голос
Abc	Abc	Abc	Abc	Abc	Abc	Abc	Abc	Abc	Abc
Abertura	Aperture	Apertura	الفتحة	개구	開口	开口	अपर्चर	Bukaan	Апертура
ABISMO · Cinema 3D	ABYSS · 3D Cinema	ABISMO · Cine 3D	الهاوية · سينما ثلاثية الأبعاد	심연 · 3D 시네마	アビス · 3Dシネマ	深渊 · 3D 电影	रसातल · 3D सिनेमा	JURANG · Sinema 3D	БЕЗДНА · 3D-кино
Abrir ajustes	Open settings	Abrir ajustes	فتح الإعدادات	설정 열기	設定を開く	打开设置	सेटिंग खोलें	Buka pengaturan	Открыть настройки
Abrir Edit Points	Open Edit Points	Abrir Edit Points	فتح Edit Points	Edit Points 열기	Edit Points を開く	打开 Edit Points	Edit Points खोलें	Buka Edit Points	Открыть Edit Points
ABRIR EDITOR DE CURVA BÉZIER	OPEN BÉZIER CURVE EDITOR	ABRIR EDITOR DE CURVA BÉZIER	فتح محرر منحنى بيزييه	베지어 곡선 편집기 열기	ベジェ曲線エディターを開く	打开贝塞尔曲线编辑器	बेज़ियर कर्व एडिटर खोलें	BUKA EDITOR KURVA BÉZIER	ОТКРЫТЬ РЕДАКТОР КРИВОЙ БЕЗЬЕ
Abrir no editor	Open in editor	Abrir en el editor	فتح في المحرر	편집기에서 열기	エディターで開く	在编辑器中打开	एडिटर में खोलें	Buka di editor	Открыть в редакторе
Abrir o estudio	Open the studio	Abrir el estudio	فتح الاستوديو	스튜디오 열기	スタジオを開く	打开工作室	स्टूडियो खोलें	Buka studio	Открыть студию
Acesso limitado · Selecionar mais fotos	Limited access · Select more photos	Acceso limitado · Seleccionar más fotos	وصول محدود · تحديد المزيد من الصور	제한된 접근 · 사진 더 선택	アクセス制限中 · 写真をさらに選択	访问受限 · 选择更多照片	सीमित पहुँच · और फ़ोटो चुनें	Akses terbatas · Pilih lebih banyak foto	Ограниченный доступ · Выбрать ещё фото
Achar o chão sozinho	Find the ground automatically	Encontrar el suelo automáticamente	العثور على الأرضية تلقائيًا	바닥 자동 찾기	地面を自動で見つける	自动找到地面	ज़मीन अपने आप खोजें	Temukan lantai secara otomatis	Найти пол автоматически
Acoes da camada	Layer actions	Acciones de la capa	إجراءات الطبقة	레이어 작업	レイヤーの操作	图层操作	लेयर की क्रियाएँ	Tindakan lapisan	Действия со слоем
Adicionar camada	Add layer	Añadir capa	إضافة طبقة	레이어 추가	レイヤーを追加	添加图层	लेयर जोड़ें	Tambah lapisan	Добавить слой
Adicionar cor à paleta	Add color to palette	Añadir color a la paleta	إضافة لون إلى اللوحة	팔레트에 색상 추가	パレットに色を追加	添加颜色到调色板	पैलेट में रंग जोड़ें	Tambah warna ke palet	Добавить цвет в палитру
Adicionar efeito de audio	Add audio effect	Añadir efecto de audio	إضافة تأثير صوتي	오디오 효과 추가	音声エフェクトを追加	添加音频效果	ऑडियो इफ़ेक्ट जोड़ें	Tambah efek audio	Добавить аудиоэффект
Adicionar geometria ao composto	Add geometry to compound	Añadir geometría al compuesto	إضافة هندسة إلى المركّب	복합 도형에 지오메트리 추가	複合シェイプにジオメトリを追加	向复合形状添加几何体	कंपाउंड में ज्यामिति जोड़ें	Tambah geometri ke gabungan	Добавить геометрию в составную фигуру
Adicionar guia horizontal	Add horizontal guide	Añadir guía horizontal	إضافة دليل أفقي	가로 안내선 추가	水平ガイドを追加	添加水平参考线	क्षैतिज गाइड जोड़ें	Tambah panduan horizontal	Добавить горизонтальную направляющую
Adicionar guia vertical	Add vertical guide	Añadir guía vertical	إضافة دليل عمودي	세로 안내선 추가	垂直ガイドを追加	添加垂直参考线	लंबवत गाइड जोड़ें	Tambah panduan vertikal	Добавить вертикальную направляющую
Adicionar Objeto	Add Object	Añadir objeto	إضافة كائن	오브젝트 추가	オブジェクトを追加	添加对象	ऑब्जेक्ट जोड़ें	Tambah Objek	Добавить объект
Adicione um texto. Em Mover e transformar, crie uma posição inicial fora da tela e outra no centro após 1 segundo. Escolha uma curva de desaceleração. Em Efeitos, adicione Glow; comece com intensidade 80, raio 20 e limite 60. Ajuste a cor do brilho. Use o interruptor do efeito para comparar antes/depois e exporte um trecho curto.	Add a text. In Move and transform, create a starting position off screen and another at the center after 1 second. Choose an ease-out curve. In Effects, add Glow; start with intensity 80, radius 20 and threshold 60. Adjust the glow color. Use the effect's switch to compare before/after and export a short clip.	Añade un texto. En Mover y transformar, crea una posición inicial fuera de la pantalla y otra en el centro tras 1 segundo. Elige una curva de desaceleración. En Efectos, añade Glow; empieza con intensidad 80, radio 20 y límite 60. Ajusta el color del brillo. Usa el interruptor del efecto para comparar antes/después y exporta un fragmento corto.	أضف نصًا. في «التحريك والتحويل»، أنشئ موضعًا أوليًا خارج الشاشة وآخر في المنتصف بعد 1 ثانية. اختر منحنى تباطؤ. في «التأثيرات»، أضف Glow؛ ابدأ بشدة 80 ونصف قطر 20 وحد 60. اضبط لون التوهج. استخدم مفتاح التأثير للمقارنة قبل/بعد وصدّر مقطعًا قصيرًا.	텍스트를 추가하세요. 이동 및 변형에서 화면 밖에 시작 위치를 만들고 1초 뒤 중앙에 다른 위치를 만드세요. 감속 곡선을 선택하세요. 효과에서 Glow를 추가하고 강도 80, 반경 20, 한계 60으로 시작하세요. 광채 색상을 조절하세요. 효과 스위치로 전후를 비교하고 짧은 구간을 내보내세요.	テキストを追加します。「移動と変形」で、画面外に開始位置を、1秒後に中央にもう一つの位置を作成します。減速カーブを選びます。「エフェクト」で Glow を追加し、強度 80、半径 20、しきい値 60 から始めます。光の色を調整します。エフェクトのスイッチで前後を比較し、短い区間を書き出します。	添加一个文本。在“移动与变换”中，创建一个位于屏幕外的起始位置，并在 1 秒后于中心创建另一个位置。选择一条减速曲线。在“效果”中添加 Glow；从强度 80、半径 20、阈值 60 开始。调整辉光颜色。使用效果开关对比前后，并导出一小段。	एक टेक्स्ट जोड़ें। खिसकाएँ और रूपांतरण में, स्क्रीन के बाहर एक शुरुआती स्थिति और 1 सेकंड बाद केंद्र में दूसरी स्थिति बनाएँ। एक धीमी होने वाली कर्व चुनें। इफ़ेक्ट में Glow जोड़ें; तीव्रता 80, त्रिज्या 20 और सीमा 60 से शुरू करें। चमक का रंग समायोजित करें। पहले/बाद की तुलना के लिए इफ़ेक्ट का स्विच इस्तेमाल करें और एक छोटा हिस्सा निर्यात करें।	Tambahkan teks. Di Pindahkan dan transformasi, buat posisi awal di luar layar dan posisi lain di tengah setelah 1 detik. Pilih kurva perlambatan. Di Efek, tambahkan Glow; mulai dengan intensitas 80, radius 20, dan ambang 60. Atur warna kilau. Gunakan sakelar efek untuk membandingkan sebelum/sesudah dan ekspor potongan pendek.	Добавьте текст. В разделе «Переместить и трансформировать» создайте начальную позицию за пределами экрана и ещё одну в центре через 1 секунду. Выберите кривую замедления. В «Эффектах» добавьте Glow; начните с интенсивности 80, радиуса 20 и порога 60. Настройте цвет свечения. Используйте переключатель эффекта, чтобы сравнить до/после, и экспортируйте короткий фрагмент.
